location,status,fault_class,detection_mechanism,detected,block
test.DUT.DataOut[0],ON,control,functional_check,False,CPU
test.DUT.DataOut[0],ON,control,functional_check,False,CPU
test.DUT.DataOut[1],ON,control,functional_check,False,CPU
test.DUT.DataOut[1],ON,control,functional_check,False,CPU
test.DUT.DataOut[2],ON,control,functional_check,False,CPU
test.DUT.DataOut[2],ON,control,functional_check,False,CPU
test.DUT.DataOut[3],ON,control,functional_check,False,CPU
test.DUT.DataOut[3],ON,control,functional_check,False,CPU
test.DUT.DataOut[4],NC,control,functional_check,False,CPU
test.DUT.DataOut[4],ON,control,functional_check,False,CPU
test.DUT.DataOut[5],NC,control,functional_check,False,CPU
test.DUT.DataOut[5],ON,control,functional_check,False,CPU
test.DUT.DataOut[6],NC,control,functional_check,False,CPU
test.DUT.DataOut[6],ON,control,functional_check,False,CPU
test.DUT.DataOut[7],NC,control,functional_check,False,CPU
test.DUT.DataOut[7],ON,control,functional_check,False,CPU
test.DUT.Empty_,ON,other,unknown,False,other
test.DUT.Empty_,ON,other,unknown,False,other
test.DUT.Error,ND,other,unknown,True,other
test.DUT.Error,ND,other,unknown,True,other
test.DUT.FL_IF.Clock,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Clock,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Empty_,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Empty_,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Full_,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Full_,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.HalfFull_,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.HalfFull_,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Read,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Read,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Reset_,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Reset_,NC,control,redundant_compare,False,CPU
test.DUT.FL_IF.Write,OD,control,redundant_compare,True,CPU
test.DUT.FL_IF.Write,OD,control,redundant_compare,True,CPU
test.DUT.FL_SM.Clock,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Clock,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Empty_,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Empty_,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Full_,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Full_,NN,control,redundant_compare,False,CPU
test.DUT.FL_SM.HalfFull_,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.HalfFull_,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Read,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Read,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Reset_,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Reset_,NC,control,redundant_compare,False,CPU
test.DUT.FL_SM.Write,ND,control,redundant_compare,True,CPU
test.DUT.FL_SM.Write,ND,control,redundant_compare,True,CPU
test.DUT.Full_,ON,other,unknown,False,other
test.DUT.Full_,ON,other,unknown,False,other
test.DUT.HalfFull_,ON,other,unknown,False,other
test.DUT.HalfFull_,ON,other,unknown,False,other
test.DUT.RP_IF.Clock,OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Clock,OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Count[0],OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Count[0],OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Count[1],OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Count[1],OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Count[2],OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Count[2],OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Enable,OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Enable,OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Reset_,OD,control,redundant_compare,True,CPU
test.DUT.RP_IF.Reset_,NC,control,redundant_compare,False,CPU
test.DUT.RP_SM.Clock,ND,control,redundant_compare,True,CPU
test.DUT.RP_SM.Clock,ND,control,redundant_compare,True,CPU
