fault_class,detection_mechanism,detected,status,location
interconnect,functional_check,N,ON,test.DUT.DataOut[0]
interconnect,functional_check,N,ON,test.DUT.DataOut[0]
interconnect,functional_check,N,ON,test.DUT.DataOut[1]
interconnect,functional_check,N,ON,test.DUT.DataOut[1]
interconnect,functional_check,N,ON,test.DUT.DataOut[2]
interconnect,functional_check,N,ON,test.DUT.DataOut[2]
interconnect,functional_check,N,ON,test.DUT.DataOut[3]
interconnect,functional_check,N,ON,test.DUT.DataOut[3]
interconnect,functional_check,N,NC,test.DUT.DataOut[4]
interconnect,functional_check,N,ON,test.DUT.DataOut[4]
interconnect,functional_check,N,NC,test.DUT.DataOut[5]
interconnect,functional_check,N,ON,test.DUT.DataOut[5]
interconnect,functional_check,N,NC,test.DUT.DataOut[6]
interconnect,functional_check,N,ON,test.DUT.DataOut[6]
interconnect,functional_check,N,NC,test.DUT.DataOut[7]
interconnect,functional_check,N,ON,test.DUT.DataOut[7]
other,unknown,N,ON,test.DUT.Empty_
other,unknown,N,ON,test.DUT.Empty_
other,unknown,Y,ND,test.DUT.Error
other,unknown,Y,ND,test.DUT.Error
control,redundant_compare,Y,OD,test.DUT.FL_IF.Clock
control,redundant_compare,Y,OD,test.DUT.FL_IF.Clock
control,redundant_compare,Y,OD,test.DUT.FL_IF.Empty_
control,redundant_compare,Y,OD,test.DUT.FL_IF.Empty_
control,redundant_compare,Y,OD,test.DUT.FL_IF.Full_
control,redundant_compare,Y,OD,test.DUT.FL_IF.Full_
control,redundant_compare,Y,OD,test.DUT.FL_IF.HalfFull_
control,redundant_compare,Y,OD,test.DUT.FL_IF.HalfFull_
control,redundant_compare,Y,OD,test.DUT.FL_IF.Read
control,redundant_compare,Y,OD,test.DUT.FL_IF.Read
control,redundant_compare,Y,OD,test.DUT.FL_IF.Reset_
control,redundant_compare,N,NC,test.DUT.FL_IF.Reset_
control,redundant_compare,Y,OD,test.DUT.FL_IF.Write
control,redundant_compare,Y,OD,test.DUT.FL_IF.Write
control,redundant_compare,Y,ND,test.DUT.FL_SM.Clock
control,redundant_compare,Y,ND,test.DUT.FL_SM.Clock
control,redundant_compare,Y,ND,test.DUT.FL_SM.Empty_
control,redundant_compare,Y,ND,test.DUT.FL_SM.Empty_
control,redundant_compare,Y,ND,test.DUT.FL_SM.Full_
control,redundant_compare,N,NN,test.DUT.FL_SM.Full_
control,redundant_compare,Y,ND,test.DUT.FL_SM.HalfFull_
control,redundant_compare,Y,ND,test.DUT.FL_SM.HalfFull_
control,redundant_compare,Y,ND,test.DUT.FL_SM.Read
control,redundant_compare,Y,ND,test.DUT.FL_SM.Read
control,redundant_compare,Y,ND,test.DUT.FL_SM.Reset_
control,redundant_compare,N,NC,test.DUT.FL_SM.Reset_
control,redundant_compare,Y,ND,test.DUT.FL_SM.Write
control,redundant_compare,Y,ND,test.DUT.FL_SM.Write
other,unknown,N,ON,test.DUT.Full_
other,unknown,N,ON,test.DUT.Full_
other,unknown,N,ON,test.DUT.HalfFull_
other,unknown,N,ON,test.DUT.HalfFull_
control,redundant_compare,Y,OD,test.DUT.RP_IF.Clock
control,redundant_compare,Y,OD,test.DUT.RP_IF.Clock
control,redundant_compare,Y,OD,test.DUT.RP_IF.Count[0]
control,redundant_compare,Y,OD,test.DUT.RP_IF.Count[0]
control,redundant_compare,Y,OD,test.DUT.RP_IF.Count[1]
control,redundant_compare,Y,OD,test.DUT.RP_IF.Count[1]
control,redundant_compare,Y,OD,test.DUT.RP_IF.Count[2]
control,redundant_compare,Y,OD,test.DUT.RP_IF.Count[2]
control,redundant_compare,Y,OD,test.DUT.RP_IF.Enable
control,redundant_compare,Y,OD,test.DUT.RP_IF.Enable
control,redundant_compare,Y,OD,test.DUT.RP_IF.Reset_
control,redundant_compare,N,NC,test.DUT.RP_IF.Reset_
control,redundant_compare,Y,ND,test.DUT.RP_SM.Clock
control,redundant_compare,Y,ND,test.DUT.RP_SM.Clock
control,redundant_compare,Y,ND,test.DUT.RP_SM.Count[0]
control,redundant_compare,Y,ND,test.DUT.RP_SM.Count[0]
control,redundant_compare,Y,ND,test.DUT.RP_SM.Count[1]
control,redundant_compare,Y,ND,test.DUT.RP_SM.Count[1]
control,redundant_compare,Y,ND,test.DUT.RP_SM.Count[2]
control,redundant_compare,Y,ND,test.DUT.RP_SM.Count[2]
control,redundant_compare,Y,ND,test.DUT.RP_SM.Enable
control,redundant_compare,Y,ND,test.DUT.RP_SM.Enable
control,redundant_compare,Y,ND,test.DUT.RP_SM.Reset_
control,redundant_compare,N,NC,test.DUT.RP_SM.Reset_
interconnect,functional_check,Y,OD,test.DUT.ReadClk
